# Created by:        SpecsLab Prodigy, Version 4.125.2-r125285 
#
# XY-Serializer Export Settings:
#   Comment Prefix:               #
#   Output Meta Data:             yes
#   Energy Axis:                  Binding Energy
#   Count Rate:                   Counts per Second
#   Separate Scan Data:           no
#   Separate Channel Data:        no
#   Separate Non-Energy Channels: yes
#   External Channel Data:        yes
#   Transmission Function:        no
#   Error Bar:                    no
#   Operation Results:            no
#   Time Zone Format:             Local Time
#
#
# Experiment Description:       
#
# Group:                        40um exit slit, 1200l/mm
# Scan Mode:                    ConstantFinalState
# Analyzer Lens Voltage:        1.5kV
# Calibration File:             C:/ProgramData/SPECS/SpecsLab Prodigy/Database/DatasetCalib1D\actual-shifts.calib1d
# Transmission File:            Default
# Analyzer Slit:                2:7x20\B:open
# Iris Diameter:                60
#
# Source Parameters
#   Name:                         BElChem-PGM
#   Polar Angle:                  45 °
#   Azimuth Angle:                45 °
#   ex_energy:                    919.99715061451002
#   device_state:                 operating
#
# Region:                       Spectrum
# Spectrum ID:                  2
# Acquisition Date:             2025-07-22 17:41:18 UTC+2
# Analysis Method:              XPS
# Analyzer Lens Mode:           Accelerating4
# Scan Variable:                Excitation Energy
# Curves/Scan:                  1
# Values/Curve:                 801
# Step Size:                    0.05
# Dwell Time:                   0.1
# Excitation Energy:            920
# Kinetic Energy:               385
# Pass Energy:                  10
# Bias Voltage:                 200
# Detector Voltage:             2150
# Eff. Workfunction:            4.25
#
# Comment:                      5th harmonic

# Cycle: 0
#
# Number of Scans: 1

# Cycle: 0, Curve: 0
#
# Acquisition Date:             2025-07-22 17:41:18 UTC+2
# ColumnLabels:                 energy counts/s
#
937.15  173290
937.2  174640
937.25  172990
937.3  176320
937.35  172180
937.4  174970
937.45  174770
937.5  174800
937.55  174270
937.6  175350
937.65  173780
937.7  174060
937.75  175270
937.8  176220
937.85  175430
937.9  175960
937.95  172200
938  176000
938.05  173720
938.1  173120
938.15  171840
938.2  174910
938.25  173160
938.3  172360
938.35  174130
938.4  170180
938.45  169460
938.5  170660
938.55  170240
938.6  172970
938.65  169700
938.7  171730
938.75  171240
938.8  170320
938.85  171760
938.9  170210
938.95  167050
939  171070
939.05  170940
939.1  168710
939.15  167000
939.2  170870
939.25  168390
939.3  168460
939.35  169070
939.4  166270
939.45  167210
939.5  168830
939.55  167790
939.6  169130
939.65  166150
939.7  168960
939.75  167990
939.8  169590
939.85  168900
939.9  166780
939.95  169010
940  166050
940.05  167730
940.1  165500
940.15  166680
940.2  153030
940.25  168190
940.3  165400
940.35  167090
940.4  168230
940.45  164390
940.5  166570
940.55  165560
940.6  165430
940.65  164610
940.7  165650
940.75  167280
940.8  167080
940.85  165400
940.9  167500
940.95  167510
941  166060
941.05  165450
941.1  163110
941.15  164920
941.2  166530
941.25  167130
941.3  166700
941.35  163480
941.4  164000
941.45  163800
941.5  164350
941.55  163320
941.6  163580
941.65  161140
941.7  163080
941.75  159460
941.8  160490
941.85  160130
941.9  161370
941.95  162000
942  158970
942.05  160010
942.1  159850
942.15  158770
942.2  159670
942.25  158530
942.3  160440
942.35  159120
942.4  158590
942.45  157480
942.5  156910
942.55  157660
942.6  159010
942.65  157670
942.7  160470
942.75  159490
942.8  160150
942.85  159770
942.9  156720
942.95  159860
943  157130
943.05  158370
943.1  156860
943.15  161600
943.2  159840
943.25  157250
943.3  158680
943.35  160310
943.4  162170
943.45  162490
943.5  159750
943.55  158120
943.6  160860
943.65  160960
943.7  160000
943.75  159810
943.8  160580
943.85  161060
943.9  158870
943.95  160480
944  160760
944.05  162070
944.1  159930
944.15  159690
944.2  158370
944.25  159240
944.3  161310
944.35  159910
944.4  157890
944.45  158660
944.5  158260
944.55  155800
944.6  160340
944.65  159850
944.7  157870
944.75  156720
944.8  156920
944.85  156180
944.9  158680
944.95  159640
945  159210
945.05  158790
945.1  159060
945.15  158950
945.2  159660
945.25  157840
945.3  157140
945.35  157500
945.4  158540
945.45  159250
945.5  149690
945.55  156210
945.6  157630
945.65  156670
945.7  160210
945.75  158170
945.8  158180
945.85  158390
945.9  156980
945.95  155990
946  156200
946.05  156060
946.1  156210
946.15  157280
946.2  156180
946.25  157370
946.3  159120
946.35  158000
946.4  152900
946.45  158280
946.5  157680
946.55  159350
946.6  155250
946.65  155020
946.7  155140
946.75  154520
946.8  154190
946.85  156270
946.9  157420
946.95  154840
947  154530
947.05  158030
947.1  153290
947.15  155260
947.2  152480
947.25  153590
947.3  154500
947.35  156090
947.4  153570
947.45  154350
947.5  155200
947.55  154960
947.6  154620
947.65  157480
947.7  155360
947.75  155840
947.8  156800
947.85  155570
947.9  157980
947.95  156680
948  153090
948.05  156130
948.1  155660
948.15  156770
948.2  158160
948.25  156450
948.3  157240
948.35  155900
948.4  158160
948.45  157690
948.5  156490
948.55  154630
948.6  156960
948.65  157940
948.7  156980
948.75  155240
948.8  155590
948.85  153890
948.9  152550
948.95  154170
949  153990
949.05  154220
949.1  154500
949.15  152590
949.2  154400
949.25  151700
949.3  152460
949.35  152080
949.4  154350
949.45  152410
949.5  152550
949.55  153380
949.6  151420
949.65  147510
949.7  151560
949.75  151270
949.8  150820
949.85  149840
949.9  148520
949.95  149370
950  148370
950.05  147590
950.1  146020
950.15  147940
950.2  147380
950.25  146930
950.3  148210
950.35  146250
950.4  146990
950.45  148660
950.5  146380
950.55  145660
950.6  147780
950.65  147490
950.7  147740
950.75  148240
950.8  138640
950.85  149870
950.9  148490
950.95  151320
951  150270
951.05  148630
951.1  150030
951.15  151420
951.2  148210
951.25  152250
951.3  149090
951.35  150980
951.4  152090
951.45  150880
951.5  149470
951.55  153140
951.6  149060
951.65  151550
951.7  151220
951.75  149160
951.8  151970
951.85  149050
951.9  149980
951.95  150170
952  151420
952.05  150480
952.1  149040
952.15  147370
952.2  149510
952.25  148920
952.3  148460
952.35  148650
952.4  149240
952.45  148890
952.5  149930
952.55  147740
952.6  147940
952.65  146220
952.7  151240
952.75  148840
952.8  146680
952.85  146730
952.9  148150
952.95  148740
953  145530
953.05  148030
953.1  150520
953.15  148550
953.2  150290
953.25  150390
953.3  149440
953.35  148700
953.4  150210
953.45  147850
953.5  147370
953.55  148670
953.6  146550
953.65  147940
953.7  148690
953.75  149220
953.8  147300
953.85  151210
953.9  150570
953.95  148180
954  150850
954.05  147890
954.1  147620
954.15  149780
954.2  151100
954.25  149650
954.3  151980
954.35  148930
954.4  149990
954.45  150820
954.5  149600
954.55  148800
954.6  147970
954.65  149690
954.7  151150
954.75  150590
954.8  149270
954.85  148340
954.9  148160
954.95  148610
955  149580
955.05  146030
955.1  146760
955.15  147050
955.2  144410
955.25  145730
955.3  147910
955.35  148980
955.4  146960
955.45  147900
955.5  147470
955.55  146680
955.6  148160
955.65  146680
955.7  146320
955.75  147880
955.8  147150
955.85  147050
955.9  144310
955.95  145140
956  147090
956.05  144480
956.1  144320
956.15  143070
956.2  145860
956.25  143900
956.3  143330
956.35  143620
956.4  144470
956.45  143550
956.5  145020
956.55  144820
956.6  144100
956.65  144360
956.7  141860
956.75  143950
956.8  142450
956.85  142290
956.9  142000
956.95  141740
957  141150
957.05  143720
957.1  143150
957.15  142550
957.2  144850
957.25  142220
957.3  139190
957.35  141230
957.4  139580
957.45  141640
957.5  141430
957.55  140520
957.6  136410
957.65  137560
957.7  139500
957.75  138100
957.8  139410
957.85  140000
957.9  138760
957.95  140220
958  142940
958.05  140510
958.1  139880
958.15  139540
958.2  141180
958.25  139770
958.3  139900
958.35  141100
958.4  141180
958.45  142320
958.5  140950
958.55  141940
958.6  142770
958.65  141860
958.7  140630
958.75  139390
958.8  142850
958.85  143520
958.9  143860
958.95  143530
959  144640
959.05  142680
959.1  143590
959.15  144640
959.2  143900
959.25  145430
959.3  144180
959.35  144540
959.4  143210
959.45  141820
959.5  143360
959.55  142900
959.6  141560
959.65  144240
959.7  143570
959.75  145540
959.8  143900
959.85  144240
959.9  143180
959.95  142740
960  142020

# External Channel Data Cycle: 0, Excitation Energy [eV] (BElChem-PGM)
#
# ColumnLabels: energy Excitation Energy [eV] (BElChem-PGM)
#
920 920.0080733547386
920.05 920.0544978943658
920.1 920.1091209985935
920.15 920.1774090003303
920.2 920.224533631801
920.25 920.2661985578189
920.3 920.3140154172187
920.35 920.3618372459869
920.4 920.4000982874669
920.45 920.4684294887261
920.5 920.5162673667438
920.55 920.5545412494254
920.6 920.61879385097
920.65 920.6591271933406
920.7 920.7015151920203
920.75 920.7651045089804
920.8 920.8088700016561
920.85 920.8656345719064
920.9 920.9039375131838
920.95 920.9723435485115
921 921.0127078763278
921.05 921.0523915118692
921.1 921.1030273223474
921.15 921.1509311864817
921.2 921.208422400989
921.25 921.2666053401614
921.3 921.3063108585287
921.35 921.3631367781335
921.4 921.4151762987844
921.45 921.4501008521523
921.5 921.508314324809
921.55 921.5507805560777
921.6 921.6103768676131
921.65 921.6638145971446
921.7 921.7049247599916
921.75 921.7748204541061
921.8 921.8036041153351
921.85 921.8529517170206
921.9 921.9208132969773
921.95 921.957832915549
922 922.0010262283134
922.05 922.0599950618899
922.1 922.1175998096031
922.15 922.153263498618
922.2 922.210193949086
922.25 922.2513528691984
922.3 922.3179008947619
922.35 922.365245026964
922.4 922.4201428593747
922.45 922.4578889100519
922.5 922.5148569808649
922.55 922.5677131699882
922.6 922.6047847602039
922.65 922.6700105301933
922.7 922.7125839012333
922.75 922.7565347279643
922.8 922.8142265424678
922.85 922.8705517010887
922.9 922.9000908129996
922.95 922.9529911571356
923 923.0120818279748
923.05 923.0567484023132
923.1 923.1055429853303
923.15 923.1632784502585
923.2 923.2258333544312
923.25 923.2691455621971
923.3 923.3152122107571
923.35 923.3619711219081
923.4 923.4142366862494
923.45 923.4665081677585
923.5 923.5236008887808
923.55 923.563501197433
923.6 923.622670070599
923.65 923.6584502766484
923.7 923.7169431216063
923.75 923.750665892803
923.8 923.820183863579
923.85 923.8511605864816
923.9 923.9200051865325
923.95 923.9792197494356
924 924.0157162255421
924.05 924.0680558267658
924.1 924.1059368680902
924.15 924.1617309661848
924.2 924.2120203084129
924.25 924.2630041321296
924.3 924.3084809370697
924.35 924.3615428660041
924.4 924.4146108875582
924.45 924.451831057327
924.5 924.522144000692
924.55 924.5600622815076
924.6 924.6076368872856
924.65 924.6593539687842
924.7 924.7152149154634
924.75 924.7538387755299
924.8 924.8055722141166
924.85 924.8662801626776
924.9 924.9014668265058
924.95 924.959427168466
925 925.0173947752257
925.05 925.0574242680858
925.1 925.110572223756
925.15 925.1685587773089
925.2 925.2106726166267
925.25 925.2624571825162
925.3 925.3163192806691
925.35 925.3556840105831
925.4 925.4233715517066
925.45 925.4655085929942
925.5 925.5152490549586
925.55 925.5684496325996
925.6 925.6016167238646
925.65 925.6589737616991
925.7 925.7128820357519
925.75 925.7730179032907
925.8 925.8117301811909
925.85 925.8704960757517
925.9 925.9099079722758
925.95 925.9569300626966
926 926.0101814314351
926.05 926.0668974160943
926.1 926.1001002406672
926.15 926.1658211839546
926.2 926.2059501354
926.25 926.2682260829936
926.3 926.3228974280812
926.35 926.3540422187205
926.4 926.4114925489117
926.45 926.450950517496
926.5 926.5028740184547
926.55 926.557573067228
926.6 926.614356126708
926.65 926.6524462249062
926.7 926.7230943329661
926.75 926.7875181736974
926.8 926.8214655208501
926.85 926.8706589467466
926.9 926.903919432842
926.95 926.9600519163595
927 927.0113393875863
927.05 927.0577802369531
927.1 927.111851565485
927.15 927.1506758964779
927.2 927.2172394581072
927.25 927.2560726163684
927.3 927.3184898643923
927.35 927.366348778937
927.4 927.4156000655257
927.45 927.4558373933382
927.5 927.5120367461136
927.55 927.5564459899033
927.6 927.6105755058738
927.65 927.6806756767878
927.7 927.7153826526603
927.75 927.7764732381044
927.8 927.8104930742116
927.85 927.8695129936948
927.9 927.9056229994169
927.95 927.9604878099894
928 928.021610681389
928.05 928.0577325267186
928.1 928.1167839062064
928.15 928.1661149365397
928.2 928.2244851817079
928.25 928.2599278410796
928.3 928.3148345592638
928.35 928.3732235117933
928.4 928.4156296169274
928.45 928.4601254329308
928.5 928.510883680246
928.55 928.5679064124263
928.6 928.615198868743
928.65 928.6736256130773
928.7 928.7230158569644
928.75 928.7932842708344
928.8 928.8190288262655
928.85 928.8670427557893
928.9 928.9087980340593
928.95 928.9547331762899
929 929.0104182277023
929.05 929.059844302753
929.1 929.1287711309983
929.15 929.1802988743498
929.2 929.2381003060129
929.25 929.2673519635141
929.3 929.3133225749147
929.35 929.357207856165
929.4 929.418514870337
929.45 929.456835861802
929.5 929.5153685659428
929.55 929.5759994961658
929.6 929.6108484376803
929.65 929.669400541976
929.7 929.7035593424961
929.75 929.759334207718
929.8 929.8109319164413
929.85 929.8681144453119
929.9 929.9001955288616
929.95 929.9566915136668
930 930.0159848058082
930.05 930.0571457719778
930.1 930.1213362440828
930.15 930.1632043693216
930.2 930.2001910153749
930.25 930.2706831455548
930.3 930.3160550186799
930.35 930.3516575870814
930.4 930.4005282945242
930.45 930.4514989302199
930.5 930.508061925676
930.55 930.5681239914437
930.6 930.6023488686114
930.65 930.6652174467857
930.7 930.7155184256297
930.75 930.7518502920605
930.8 930.8301131777998
930.85 930.8678517719894
930.9 930.9027976433152
930.95 930.9517262714173
931 931.0146420657334
931.05 931.0579890046099
931.1 931.1013399800387
931.15 931.1824590997475
931.2 931.2195268503204
931.25 931.2537996603495
931.3 931.3034647389238
931.35 931.3503366433022
931.4 931.4140060399357
931.45 931.4594895103581
931.5 931.5028778832362
931.55 931.5735675987592
931.6 931.6183666354083
931.65 931.6624698955878
931.7 931.7100781007532
931.75 931.7765977114461
931.8 931.8186149912592
931.85 931.8627372136317
931.9 931.9257762086696
931.95 931.9727107766273
932 932.0322614351962
932.05 932.0707982697363
932.1 932.1233536346529
932.15 932.1625988387085
932.2 932.2102581723499
932.25 932.2740451999831
932.3 932.304890410176
932.35 932.3581733083067
932.4 932.4016454468199
932.45 932.4647573779368
932.5 932.5250723174839
932.55 932.5692614692389
932.6 932.6064397136233
932.65 932.659757086482
932.7 932.7130805560278
932.75 932.753077159767
932.8 932.8092185300519
932.85 932.8653666589167
932.9 932.9278393956266
932.95 932.9657482809425
933 933.0170003755117
933.05 933.052107799275
933.1 933.1195214595842
933.15 933.1602552668161
933.2 933.2143384024349
933.25 933.2642128233249
933.3 933.3000414016335
933.35 933.3717068117691
933.4 933.40754364423
933.45 933.4771171165744
933.5 933.5115563088177
933.55 933.5628683900619
933.6 933.6071559540454
933.65 933.6774623036298
933.7 933.7034783368325
933.75 933.7752057202505
933.8 933.812480182207
933.85 933.8504609966203
933.9 933.9116588077554
933.95 933.9630148842906
934 934.0150802338045
934.05 934.0572996437323
934.1 934.1016341321921
934.15 934.1607533306309
934.2 934.2128407296224
934.25 934.2522620820196
934.3 934.3163288759273
934.35 934.35223828407
934.4 934.4092765471902
934.45 934.4705476241081
934.5 934.5029470732773
934.55 934.5592992929612
934.6 934.6128401970775
934.65 934.6593412226595
934.7 934.7234638619387
934.75 934.7586998266706
934.8 934.8164925601016
934.85 934.8531453134907
934.9 934.9123596793445
934.95 934.9645309312751
935 935.0160028717688
935.05 935.0597232173159
935.1 935.116847893721
935.15 935.1577562714443
935.2 935.2219473191925
935.25 935.2536934014747
935.3 935.3214255808216
935.35 935.3708198133697
935.4 935.4082217742422
935.45 935.4675064811992
935.5 935.5070337942045
935.55 935.5691548925919
935.6 935.6023365864738
935.65 935.6567031719774
935.7 935.7110760761856
935.75 935.756273948782
935.8 935.8170154663412
935.85 935.8544531198105
935.9 935.9159138757352
935.95 935.9519463480401
936 936.0056469451384
936.05 936.0586469968705
936.1 936.1052920075895
936.15 936.1646651087108
936.2 936.2007167376206
936.25 936.2721212958746
936.3 936.3159591925815
936.35 936.3633370188444
936.4 936.4064762247147
936.45 936.4517413040538
936.5 936.5146953296723
936.55 936.5514813746091
936.6 936.6002980882615
936.65 936.6703483496642
936.7 936.7078543113302
936.75 936.7708427777877
936.8 936.832423961476
936.85 936.8720667077229
936.9 936.9350772616255
936.95 936.9633993724569
937 937.0073020282739
937.05 937.0653731505722
937.1 937.1064521931833
937.15 937.1808285882524
937.2 937.2183754429674
937.25 937.2623019970758
937.3 937.309775644539
937.35 937.3664668965522
937.4 937.4026111492504
937.45 937.4635665948357
937.5 937.5231121253779
937.55 937.5606864118848
937.6 937.6060631497432
937.65 937.670590762166
937.7 937.7060492751517
937.75 937.7564049716482
937.8 937.8117315490457
937.85 937.8684835386946
937.9 937.9039570203846
937.95 937.9600105912168
938 938.0139418690335
938.05 938.0565235746915
938.1 938.122532859269
938.15 938.1551860469515
938.2 938.2119796139976
938.25 938.266649916983
938.3 938.3000232334446
938.35 938.3504427457807
938.4 938.4164934033803
938.45 938.4875259914601
938.5 938.5173628852478
938.55 938.5614112912688
938.6 938.6061743909639
938.65 938.6722610567309
938.7 938.7021096982521
938.75 938.755415565634
938.8 938.822234135674
938.85 938.8627564121495
938.9 938.9160805268291
938.95 938.967277375889
939 939.018479808537
939.05 939.0547515770929
939.1 939.1265921733544
939.15 939.1607380923524
939.2 939.2034239830315
939.25 939.2674600949993
939.3 939.3108673138128
939.35 939.3656657615284
939.4 939.4005408300961
939.45 939.4560615876552
939.5 939.5172843893763
939.55 939.5706828818778
939.6 939.6077093999994
939.65 939.6696641390887
939.7 939.7017128998029
939.75 939.7501462861509
939.8 939.808557892742
939.85 939.86697676111
939.9 939.9040266360198
939.95 939.9588943162407
940 940.0208953775422
940.05 940.0551063610391
940.1 940.1263872417735
940.15 940.1641704916242
940.2 940.2097995961134
940.25 940.2661291301129
940.3 940.3024973512711
940.35 940.3631173054869
940.4 940.4166119916837
940.45 940.461552231832
940.5 940.5015027179395
940.55 940.5642889113102
940.6 940.6228017734509
940.65 940.6591975916064
940.7 940.7070159864642
940.75 940.7762542179069
940.8 940.8076646110441
940.85 940.8569260422831
940.9 940.9111909806754
940.95 940.9697470139387
941 941.0297388007024
941.05 941.0711661657102
941.1 941.1168833534738
941.15 941.153317417724
941.2 941.2133326146812
941.25 941.255490722141
941.3 941.3105163061014
941.35 941.3619746209966
941.4 941.4177274780845
941.45 941.4556145980612
941.5 941.521388161142
941.55 941.5578535524403
941.6 941.6157749799121
941.65 941.6622602918155
941.7 941.7244862771787
941.75 941.7666901885062
941.8 941.8017437700253
941.85 941.8511093605308
941.9 941.9219472912504
941.95 941.9706098211395
942 942.0171301751993
942.05 942.0658025407095
942.1 942.1230705869032
942.15 942.1552869227426
942.2 942.2018255200437
942.25 942.2540974262554
942.3 942.3135369141237
942.35 942.3536449018649
942.4 942.4145296221806
942.45 942.4517806240735
942.5 942.5126780264012
942.55 942.5785993782752
942.6 942.6187299335444
942.65 942.6746317589426
942.7 942.7104697499751
942.75 942.7520452335166
942.8 942.8194339779031
942.85 942.850980955792
942.9 942.911212867202
942.95 942.972169659209
943 943.0044440928856
943.05 943.0639782885168
943.1 943.1012806508834
943.15 943.1644144486806
943.2 943.2261215546949
943.25 943.2921427473678
943.3 943.3323340855588
943.35 943.3890384046176
943.4 943.4256486114662
943.45 943.4859539702976
943.5 943.5254437986899
943.55 943.5785807840155
943.6 943.6073059708251
943.65 943.6647615916166
943.7 943.7092945104912
943.75 943.7538316327111
943.8 943.8113050991317
943.85 943.8659113764759
943.9 943.9011214056777
943.95 943.9564567593967
944 944.0175487753621
944.05 944.0534889493633
944.1 944.1088421698681
944.15 944.1685158983153
944.2 944.2066247558267
944.25 944.2648725385064
944.3 944.3015507554229
944.35 944.3554944862434
944.4 944.4173575500528
944.45 944.4626809847122
944.5 944.5094478183629
944.55 944.5626956978842
944.6 944.6159495815733
944.65 944.6634513550785
944.7 944.7152769205683
944.75 944.7692679317515
944.8 944.8002255616179
944.85 944.8542262832407
944.9 944.9003117805174
944.95 944.9708889114152
945 945.0141046034895
945.05 945.0594853344716
945.1 945.1163974902445
945.15 945.1517008794076
945.2 945.2187125247484
945.25 945.2684369829905
945.3 945.3167251592183
945.35 945.3686224305007
945.4 945.4025028899441
945.45 945.4724340697007
945.5 945.5178588314965
945.55 945.5560766943429
945.6 945.610885059356
945.65 945.6527167707652
945.7 945.7169140081525
945.75 945.7717410208919
945.8 945.8042073801937
945.85 945.8640956237545
945.9 945.9030631317946
945.95 945.9687378639294
946 946.0069921852944
946.05 946.0661842133375
946.1 946.1203297495744
946.15 946.1549861454623
946.2 946.2149188212326
946.25 946.2531930563664
946.3 946.3080822690466
946.35 946.387538461421
946.4 946.4251042154092
946.45 946.4619504479471
946.5 946.5103606433729
946.55 946.5623890606236
946.6 946.6057504445413
946.65 946.6679086899123
946.7 946.7062195812888
946.75 946.7604384057887
946.8 946.815386483409
946.85 946.868894687925
946.9 946.9043291246742
946.95 946.970142972474
947 947.0113716911495
947.05 947.0554976301506
947.1 947.1097564701927
947.15 947.1560622635628
947.2 947.2153981789761
947.25 947.2624380285573
947.3 947.3203396422188
947.35 947.3920026897126
947.4 947.4282002689814
947.45 947.4745372068569
947.5 947.515085745728
947.55 947.5860540406687
947.6 947.6331307127947
947.65 947.6990459126813
947.7 947.7338180639616
947.75 947.7830829797806
947.8 947.8156875785963
947.85 947.8664103024765
947.9 947.9156890043861
947.95 947.9685968434751
948 948.0041136373194
948.05 948.0679055818473
